#  RunNo  LumiNo        EvtNo
  196452     591    825710419
  196453      34     33185290
  196453     119    114042402
  196453     362    332760898
  196453     388    354595910
  196453     583    514355280
  196453     560    495717307
  196453     674    585481695
  196453    1069    940783106
  196453    1209   1069166964
  196495     192    156628883
  196495     234    226369546
  196531     432    614535310
  199319      82    132727284
  199319     148    233280737
  198522     180    190095362
  199572      27     23395971
  199572     279    236394272
  198116      45     32222331
  199409     349    455007040
  199409     437    554138927
  199011       6      6021936
  198207      32     29311873
  198207      29     26542724
  198485      74     33549173
  198208      77     61306480
  198208      79     62600130
  199336     703    621456052
  198969     420    544636311
  198954     212    247185635
  198969     504    638300639
  199336     514    470288810
  198969     512    647138051
  198271     296    366117256
  198210      63     42544237
  198210      70     47528092
  198210      73     49536710
  199569     292    339659814
  198212     409    292683787
  199021     274    334022705
  198212     116     67113741
  199021     123    124735341
  198212     255    142678395
  199569      88    109670879
  198230    1081    923759740
  198230     284    308496130
  198230     315    339242083
  198230     329    352450286
  198230     495    501275672
  198230     433    447300763
  198230     541    539572381
  198969     120    151524275
  199428     431    528489540
  198230    1018    884510066
  198230    1113    942902778
  198230    1325   1066312921
  198269     135    216678012
  198269     155    245667050
  199429     120    134212816
  198269     164    259866926
  198269     189    294436909
  198271     203    259084324
  198271     429    507293028
  198271     567    661447895
  198271     554    646644425
  198271     695    798126853
  198272     161    153109437
  198272      43     41835692
  199336     208    202933956
  198272     195    184759028
  198272     207    195326352
  198272     592    513225190
  198272     361    328007567
  198272     361    327800169
  199336     455    420862731
  198485      91     62282632
  198485     109     90236490
  198485     109     90452122
  198272     596    516137114
  198487    1123   1192189829
  198487     311    372728172
  198487     296    356484848
  198487     437    502460592
  198487     238    292228326
  198372     105     78494274
  198485     121    109770913
  199336     691    611954849
  199336     770    672790434
  199336      53     53526110
  198487    1105   1176761425
  198487     248    302985417
  198487     262    319256034
  198487     194    241074533
  198487     910    999861827
  198487    1031   1111272981
  198487    1098   1170465905
  198487     883    974074220
  198487    1264   1310181343
  198487    1328   1362281924
  198487     992   1076675676
  198487     963   1050554854
  198487     974   1060727171
  198487    1150   1215657760
