#  RunNo  LumiNo        EvtNo
  200600     821   1039528117
  200600    1115   1341648489
  200976     137     91212130
  201191    1103   1463240033
  201611     185    195487727
  201191     414    637068950
  200991     220    317031748
  200991      90    138155810
  200991     132    199110193
  201159     163    198392696
  200991     754    934649448
  200991     847   1034116847
  200991     947   1137108903
  200992     285    248131181
  201197       1        71936
  200992     105     95440745
  200992     217    191720181
  200992     126    113508229
  200992     440    370920176
  200992     418    353582790
  201062     143    150054467
  201062     188    231239916
  201191     118    127810590
  201611     101     42495618
  201679      26     21901556
  201097     318    423112984
  201097     225    283407228
  201097     277    364061534
  201097     456    612346003
  201718      79     53136587
  201097     398    536257479
  201097     375    503936397
  201097     437    587057098
  201159     177    223251048
  201164      98    156032992
  201164     337    487524643
  201168     116    128994807
  201168     506    560846088
  201168      82     91911817
  201168     226    248553437
  201168     373    418885943
  201168     527    582941493
  201168     451    502684433
  201168     519    574039714
  201173     348    292596839
  201173     214    185736988
  201174     350    225481762
  201624     135    141023554
  201174     440    288830291
  201191     324    499185950
  201191     337    520996139
  201191     923   1261293976
  201191     898   1232543939
  201191     735   1047464313
  201278     307    428802144
  201278     498    683294537
  201196     117    101099769
  201196     187    158766884
  201658     106    193275447
  201196     180    153213726
  201196     453    366205048
  201196     454    367229459
  201202     337    308861625
  201202     414    374337517
  201229      19     34571506
  201229      60    109192574
  201278     247    337038159
  201613     358    551448227
  201613     163    272442464
  201278     203    267677100
  201613      86    148610866
  201613     639    888754700
  201278    1248   1490608310
  201278     430    597380632
  201278     608    814688117
  201278     342    477970880
  201278     508    695968667
  201278    1672   1843746194
  201278    1027   1273307131
  201278    1077   1324597239
  201278    2112   2144680720
  201278    1146   1393839168
  201278    1299   1536905530
  201278    1580   1772642374
  201278    1665   1838036943
  201278    1940   2033512366
  201602     185    211085902
  201602     326    445788358
  201602     289    387750269
  201602     425    587143160
  201705     180    229512894
  201613      39     67595103
  201671     399    515628273
  201671      26     38077841
  201613      89    153164605
  201613     121    206328454
  201613     201    329941620
  201613     201    329710921
  201613     113    192715845
  201613     292    462197748
  201613     459    679899038
  201613     414    623804792
  201613     504    735164948
  201625     405    591720832
  201625     429    619630593
  201625     663    882553219
  201658      65    121167234
  201802     283    390210097
  201669      96    171668198
  201669     117    207045691
  201729     107    167028883
  201671      96    140508828
  201671     159    226086119
  201671     201    280981311
  201671     825    977258839
  201678      72     64697781
  201824      46     41130981
  201679     410    325045571
  201707     110    161562377
  201707     241    334194014
  201707     617    759632836
  201707     533    667575385
  201718      72     40362413
  201727      84     46521551
  201729      17     26718861
  201729      27     42324648
  201794      65     28598838
  201816      47     55235815
  201816     105    121169275
  201816     152    173404077
  201817      45     47005737
  201817     129    130988771
  201819      85     72815726
  202013      27     42702112
  202014      56     66121798
  202016       2      1318831
  202016      65     74479760
  202209     111    170763815
  202016      99    112777874
  202016      79     90274172
  202016     211    232569049
  202016     231    256972310
  202016     428    479445647
  202075      62     99576777
  202016     448    500393477
  202016     712    760566769
  202044     111     99201279
  202044     232    303482457
  202044     326    444694311
  202045      48     58610196
  202045      89    108305508
  202045     187    221066350
  202045     519    583114100
  202045     719    789346140
  202045     677    747997977
  202054     431    347158865
  202054      52     45020382
  202087     930   1073930659
  202054     394    319742727
  203002    1570   1762985841
