#  RunNo  LumiNo        EvtNo
  191062      87     98329017
  191062     153    171843889
  191062     265    291259818
  191062     321    348215039
  191062     328    355818160
  191062      50     55152285
  191062      51     55840862
  191830     128    158535490
  191830     128    158553709
  191062     501    521501565
  191830      72     51317097
  191062      24     24155124
  191062      72     81023353
  191062     140    157430845
  191062     259    284599252
  191062     268    294665467
  191062     307    334549959
  191830      85     76089604
  191062     403    428684641
  191062      99    111804383
  191062     173    194082705
  191062     277    303315699
  191062     348    374992067
  191830     165    225068454
  191062     312    339167149
  191830      92     91311451
  191830     108    121481991
  191062     445    469000113
  191062     364    391486785
  191062     525    543106165
  191830     203    291154601
  191830     155    207393271
  191720     108    103148424
  191277     463    434945446
  191277     574    518197340
  191201      55     60027067
  191277     503    468737073
  191277     503    468166816
  191720      99     94789465
  191264     141    143378107
  193193     237    161476565
  191830     125    153645526
  191202      97    163918089
  191830     150    199048760
  191830     264    395378621
  191271     346    379606204
  191271     346    379657093
  191271     121    104154524
  191271     109     87722220
  191271     109     87445990
  191248      23     17168643
  191248      29     22236860
  191271     177    177945582
  191271     292    318716386
  191248      91     74078802
  191810      39     58768292
  191718     196    243561076
  191264      64     25969119
  191264     121    115786036
  191264      68     34597860
  191264      69     37477800
  191264      69     36710425
  191264     119    113289131
  191833      73     93822576
  191264      92     74203720
  191264     118    111868701
  193334     126     96721863
  191264      95     78828727
  193556      42     11265791
  191264     124    119412481
  191264     128    125827578
  191264     129    126982533
  191264     137    137969710
  191264     144    147156862
  191264     144    147106727
  191264     162    171056338
  191264     169    180260496
  191264     161    170243695
  191264     181    195988813
  191833      16     16003990
  191718      53     46904271
  191833      23     26050632
  191833      38     46532856
  191718     176    218891239
  193124      11      4022021
  191271      78     44584225
  191271     227    241757879
  191271     231    245695635
  193124      40     21074685
  191271      87     56746276
  191271      96     70550325
  191271     145    135955152
  191271     166    164708426
  191271     203    211049899
  191271     251    270951007
  191271     221    233841504
  191271     232    247520719
  191271     257    277855106
  191271     290    316424249
  193621     383    355527676
  193621     587    529257898
  191271     356    389625787
  193621     630    564530579
  193621     630    564294193
  193621     651    581202832
